Time,VDP01,VDP02,VDP03,VDP04,VDP05,VDP06,VDP07,VDP08
3/20/2022,112579.2,118972.8,118281.6,,,165110.4,184032,204595.2
4/17/2022,83635.2,84240,80870.4,77846.4,89769.6,82425.6,103680,81043.2
5/29/2022,61776,75427.2,59832,52099.2,45273.6,70027.2,70502.4,60782.4
1/8/2023,322747.2,321926.4,313804.8,334713.6,222048,351734.4,,366163.2
1/22/2023,122947.2,,95644.8,,90676.8,134870.4,,182995.2
2/19/2023,32227.2,,36979.2,,52963.2,50716.8,,81302.4
